4,
14,
-1,15,15,35,36,46,47,48,49,60,
-2,15,25,53,54,64,65,66,67,83,
-3,15,38,71,72,82,83,84,85,106,
-4,15,51,89,90,100,101,102,103,129,
-5,15,64,107,108,118,119,120,121,152,
-6,15,77,125,126,136,137,138,139,175,
-7,15,90,143,144,154,155,156,157,198,
-8,15,103,161,162,172,173,174,175,221,
-9,15,116,179,180,190,191,192,193,244,
245,
247,
272,
0,273,273,292,293,302,312,313,314,325,
1,273,282,309,310,319,329,330,331,347,
2,273,294,326,327,336,346,347,348,369,
3,273,306,343,344,353,363,364,365,391,
4,273,318,360,361,370,380,381,382,413,
5,273,330,377,378,387,397,398,399,435,
6,273,342,394,395,404,414,415,416,457,
7,273,354,411,412,421,431,432,433,479,
8,273,366,428,429,438,448,449,450,501,
502,
511,
